Gen,BestFit
0,286918
1,286918
2,286633
3,286633
4,286633
5,286633
6,286633
7,286633
8,286633
9,286633
10,286633
11,286633
12,286568
13,286568
14,286568
15,286568
16,286568
17,286478
18,286478
19,286478
20,286478
21,286478
22,286478
23,286478
24,286478
25,286478
26,286478
27,286478
28,286478
29,286478
30,286478
31,286478
32,286478
33,286478
34,286478
35,286478
36,286478
37,286293
38,286293
39,286293
40,286293
41,286293
42,286293
43,286293
44,286293
45,286293
46,286293
47,286293
48,286293
49,286293
50,286293
51,286293
52,286293
53,286293
54,286293
55,286293
56,286293
57,286293
58,286293
59,286293
60,286293
61,286293
62,286293
63,286293
64,286293
65,286288
66,286288
67,285828
68,285828
69,285828
70,285828
71,285828
72,285828
73,285828
74,285828
75,285828
76,285828
77,285828
78,285828
79,285828
80,285828
81,285828
82,285828
83,285828
84,285828
85,285828
86,285828
87,285828
88,285828
89,285828
90,285828
91,285828
92,285828
93,285828
94,285828
95,285828
96,285828
97,285828
98,285828
99,285828
