Gen,BestFit
0,913765
1,913365
2,913020
3,913020
4,913020
5,913020
6,913020
7,913020
8,913020
9,913020
10,913020
11,913020
12,913020
13,913020
14,913020
15,913020
16,913020
17,913020
18,913020
19,913020
20,913020
21,913020
22,913020
23,913020
24,913020
25,913020
26,913020
27,913020
28,913020
29,913020
30,913020
31,913020
32,913020
33,913020
34,913020
35,913020
36,913020
37,913020
38,913020
39,913020
40,913020
41,913020
42,913020
43,913020
44,913020
45,913020
46,913020
47,913020
48,913020
49,913020
50,913020
51,913020
52,913020
53,913020
54,913020
55,913020
56,913020
57,913020
58,913020
59,913020
60,913020
61,913020
62,913020
63,913020
64,913020
65,913020
66,913020
67,913020
68,913020
69,913020
70,913020
71,912895
72,912895
73,912895
74,912895
75,912895
76,912895
77,912895
78,912895
79,912895
80,912895
81,912895
82,912895
83,912895
84,912895
85,912895
86,912895
87,912895
88,912895
89,912895
90,912895
91,912895
92,912895
93,912895
94,912895
95,912895
96,912895
97,912895
98,912895
99,912895
