Gen,BestFit
0,913980
1,913920
2,913730
3,913730
4,913625
5,913625
6,913625
7,913625
8,913625
9,913625
10,913625
11,913535
12,913535
13,913535
14,913535
15,913230
16,913230
17,912975
18,912975
19,912975
20,912975
21,912975
22,912975
23,912975
24,912975
25,912975
26,912975
27,912975
28,912975
29,912975
30,912975
31,912975
32,912975
33,912975
34,912975
35,912975
36,912975
37,912975
38,912975
39,912975
40,912975
41,912975
42,912975
43,912975
44,912975
45,912975
46,912975
47,912975
48,912975
49,912975
50,912975
51,912975
52,912975
53,912975
54,912975
55,912975
56,912975
57,912975
58,912975
59,912975
60,912975
61,912975
62,912975
63,912780
64,912780
65,912780
66,912780
67,912780
68,912780
69,912780
70,912780
71,912780
72,912780
73,912780
74,912780
75,912780
76,912780
77,912780
78,912780
79,912780
80,912780
81,912780
82,912780
83,912780
84,912780
85,912780
86,912780
87,912780
88,912780
89,912780
90,912780
91,912780
92,912780
93,912780
94,912780
95,912780
96,912780
97,912780
98,912780
99,912780
