Gen,BestFit
0,2640543
1,2640543
2,2639738
3,2639738
4,2639738
5,2639738
6,2639738
7,2639738
8,2639738
9,2639413
10,2639413
11,2639413
12,2639413
13,2639413
14,2639413
15,2639413
16,2639413
17,2639413
18,2639413
19,2639413
20,2639413
21,2639413
22,2639413
23,2639413
24,2639413
25,2639413
26,2639413
27,2639413
28,2639413
29,2639413
30,2639413
31,2639413
32,2639413
33,2639413
34,2639413
35,2639413
36,2639413
37,2639413
38,2639413
39,2639413
40,2639413
41,2639413
42,2639413
43,2639413
44,2639413
45,2639413
46,2639413
47,2639413
48,2639413
49,2639413
50,2639413
51,2639413
52,2639413
53,2639413
54,2639413
55,2639413
56,2639413
57,2639413
58,2639413
59,2639413
60,2639413
61,2639413
62,2639413
63,2639413
64,2639413
65,2639413
66,2639413
67,2639413
68,2639413
69,2639413
70,2639413
71,2639413
72,2639413
73,2639413
74,2639413
75,2639413
76,2639413
77,2639413
78,2639413
79,2639413
80,2639413
81,2639413
82,2639413
83,2639413
84,2639413
85,2639413
86,2639413
87,2639413
88,2639413
89,2639413
90,2639413
91,2639413
92,2639413
93,2639413
94,2639413
95,2639413
96,2639413
97,2639413
98,2639413
99,2639413
