,0
0,70895
1,70695
2,70450
3,70010
4,69995
5,69650
6,69650
7,69370
8,69310
9,69185
10,68905
11,68890
12,68865
13,68810
14,68725
15,68690
16,68665
17,68575
18,68575
19,68490
20,68490
21,68490
22,68425
23,68425
24,68415
25,68410
26,68400
27,68400
28,68310
29,68270
30,68270
31,68270
32,68270
33,68270
34,68270
35,68270
36,68270
37,68270
38,68270
39,68245
40,68245
41,68245
42,68245
43,68245
44,68245
45,68245
46,68245
47,68065
48,68065
49,68065
50,68065
51,67990
52,67990
53,67990
54,67990
55,67990
56,67990
57,67990
58,67990
59,67990
60,67875
61,67875
62,67875
63,67875
64,67875
65,67875
66,67875
67,67875
68,67875
69,67875
70,67875
71,67875
72,67875
73,67875
74,67875
75,67875
76,67875
77,67875
78,67875
79,67810
80,67810
81,67810
82,67810
83,67810
84,67810
85,67810
86,67810
87,67810
88,67810
89,67810
90,67810
91,67810
92,67810
93,67810
94,67810
95,67810
96,67810
97,67810
98,67810
99,67810
