Gen,BestFit
0,1271090
1,1271090
2,1271090
3,1270645
4,1270645
5,1270645
6,1270645
7,1270645
8,1270645
9,1270305
10,1270305
11,1270305
12,1270305
13,1270305
14,1270305
15,1270305
16,1270305
17,1270305
18,1270305
19,1270305
20,1270305
21,1270305
22,1270305
23,1270305
24,1270305
25,1269940
26,1269940
27,1269940
28,1269940
29,1269940
30,1269940
31,1269940
32,1269940
33,1269940
34,1269940
35,1269940
36,1269940
37,1269940
38,1269940
39,1269940
40,1269940
41,1269940
42,1269940
43,1269940
44,1269940
45,1269940
46,1269940
47,1269940
48,1269940
49,1269940
50,1269940
51,1269940
52,1269940
53,1269940
54,1269940
55,1269940
56,1269940
57,1269940
58,1269940
59,1269940
60,1269940
61,1269940
62,1269940
63,1269940
64,1269940
65,1269940
66,1269940
67,1269940
68,1269940
69,1269940
70,1269940
71,1269940
72,1269940
73,1269940
74,1269940
75,1269940
76,1269940
77,1269940
78,1269940
79,1269940
80,1269940
81,1269940
82,1269940
83,1269940
84,1269940
85,1269940
86,1269940
87,1269940
88,1269940
89,1269940
90,1269940
91,1269940
92,1269940
93,1269940
94,1269940
95,1269940
96,1269940
97,1269940
98,1269940
99,1269940
