Gen,BestFit
0,1896453
1,1896453
2,1896453
3,1896303
4,1896303
5,1896303
6,1895938
7,1895938
8,1895938
9,1895938
10,1895938
11,1895938
12,1895938
13,1895938
14,1895938
15,1895938
16,1895938
17,1895938
18,1895938
19,1895938
20,1895938
21,1895938
22,1895938
23,1895738
24,1895738
25,1895738
26,1895738
27,1895738
28,1895738
29,1895738
30,1895738
31,1895708
32,1895708
33,1895708
34,1895708
35,1895708
36,1895708
37,1895708
38,1895708
39,1895708
40,1895708
41,1895708
42,1895708
43,1895708
44,1895708
45,1895708
46,1895708
47,1895708
48,1895708
49,1895708
50,1895708
51,1895708
52,1895708
53,1895708
54,1895708
55,1895708
56,1895708
57,1895708
58,1895708
59,1895708
60,1895708
61,1895708
62,1895708
63,1895708
64,1895708
65,1895708
66,1895708
67,1895708
68,1895708
69,1895708
70,1895708
71,1895708
72,1895708
73,1895708
74,1895708
75,1895708
76,1895708
77,1895708
78,1895708
79,1895708
80,1895708
81,1895708
82,1895708
83,1895708
84,1895708
85,1895708
86,1895708
87,1895708
88,1895708
89,1895708
90,1895708
91,1895708
92,1895708
93,1895708
94,1895708
95,1895708
96,1895288
97,1895288
98,1895288
99,1895288
