,0
0,489070
1,488840
2,488475
3,488190
4,487895
5,487840
6,487610
7,487385
8,487385
9,487235
10,487230
11,487020
12,486815
13,486450
14,486450
15,486450
16,486420
17,486420
18,486330
19,486330
20,486125
21,486125
22,486125
23,486005
24,486005
25,486005
26,486005
27,486005
28,485990
29,485990
30,485990
31,485990
32,485985
33,485985
34,485985
35,485985
36,485930
37,485930
38,485930
39,485895
40,485895
41,485665
42,485665
43,485665
44,485665
45,485665
46,485665
47,485665
48,485665
49,485665
50,485665
51,485665
52,485665
53,485665
54,485665
55,485665
56,485605
57,485605
58,485605
59,485605
60,485575
61,485575
62,485570
63,485535
64,485535
65,485535
66,485535
67,485535
68,485535
69,485535
70,485535
71,485400
72,485400
73,485400
74,485380
75,485380
76,485380
77,485335
78,485335
79,485260
80,485260
81,485260
82,485260
83,485260
84,485260
85,485260
86,485260
87,485260
88,485260
89,485260
90,485260
91,485260
92,485260
93,485260
94,485260
95,485260
96,485260
97,485260
98,485260
99,485260
