Gen,BestFit
0,913765
1,913340
2,913340
3,913340
4,913340
5,913340
6,913340
7,912915
8,912915
9,912915
10,912915
11,912710
12,912710
13,912710
14,912710
15,912710
16,912710
17,912710
18,912710
19,912710
20,912710
21,912710
22,912710
23,912710
24,912710
25,912710
26,912710
27,912710
28,912710
29,912710
30,912710
31,912710
32,912710
33,912710
34,912710
35,912710
36,912710
37,912710
38,912710
39,912710
40,912710
41,912710
42,912710
43,912710
44,912710
45,912710
46,912710
47,912710
48,912710
49,912710
50,912710
51,912710
52,912710
53,912710
54,912710
55,912710
56,912710
57,912710
58,912710
59,912710
60,912710
61,912710
62,912710
63,912710
64,912710
65,912710
66,912710
67,912710
68,912710
69,912710
70,912710
71,912710
72,912710
73,912710
74,912710
75,912710
76,912710
77,912710
78,912710
79,912710
80,912710
81,912710
82,912710
83,912710
84,912710
85,912710
86,912710
87,912710
88,912710
89,912710
90,912710
91,912710
92,912710
93,912710
94,912710
95,912710
96,912710
97,912710
98,912710
99,912710
