,0
0,400180
1,399380
2,399380
3,399190
4,399020
5,398765
6,398445
7,398335
8,398035
9,397885
10,397885
11,397610
12,397610
13,397420
14,397420
15,397080
16,397080
17,397080
18,396830
19,396630
20,396630
21,396630
22,396630
23,396535
24,396510
25,396510
26,396510
27,396510
28,396420
29,396420
30,396420
31,396420
32,396355
33,396355
34,396355
35,396355
36,396205
37,396205
38,396205
39,396115
40,396115
41,396115
42,396115
43,396115
44,396115
45,396015
46,396015
47,396015
48,396015
49,396015
50,396015
51,395935
52,395935
53,395935
54,395935
55,395720
56,395720
57,395720
58,395580
59,395580
60,395580
61,395580
62,395580
63,395120
64,395120
65,395120
66,395120
67,395120
68,395120
69,395120
70,395120
71,395120
72,395120
73,395120
74,395005
75,395005
76,394995
77,394995
78,394995
79,394995
80,394995
81,394995
82,394770
83,394770
84,394770
85,394770
86,394770
87,394770
88,394770
89,394770
90,394445
91,394445
92,394445
93,394445
94,394445
95,394445
96,394445
97,394445
98,394445
99,394445
