Gen,BestFit
0,236133
1,235848
2,235848
3,235848
4,235748
5,235748
6,235683
7,235683
8,235683
9,235683
10,235683
11,235683
12,235683
13,235683
14,235683
15,235683
16,235683
17,235683
18,235683
19,235683
20,235683
21,235683
22,235683
23,235683
24,235683
25,235458
26,235458
27,235458
28,235458
29,235458
30,235458
31,235458
32,235458
33,235458
34,235458
35,235458
36,235458
37,235458
38,235458
39,235458
40,235458
41,235458
42,235458
43,235458
44,235458
45,235458
46,235458
47,235458
48,235458
49,235458
50,235458
51,235458
52,235458
53,235458
54,235458
55,235458
56,235458
57,235458
58,235458
59,235458
60,235458
61,235458
62,235458
63,235458
64,235458
65,235458
66,235458
67,235423
68,235423
69,235423
70,235423
71,235423
72,235423
73,235423
74,235423
75,235423
76,235423
77,235423
78,235423
79,235423
80,235423
81,235423
82,235423
83,235423
84,235423
85,235423
86,235423
87,235423
88,235423
89,235423
90,235423
91,235423
92,235423
93,235423
94,235423
95,235423
96,235423
97,235423
98,235423
99,235423
