,0
0,743005
1,742240
2,741275
3,740940
4,740185
5,739855
6,739580
7,739240
8,738705
9,738475
10,738075
11,737820
12,737055
13,736295
14,736295
15,736295
16,735970
17,735915
18,735690
19,735410
20,735410
21,735410
22,735410
23,735405
24,735170
25,735170
26,735170
27,734825
28,734825
29,734825
30,734780
31,734780
32,734780
33,734690
34,734515
35,734515
36,734045
37,734045
38,734045
39,734045
40,734045
41,734045
42,734045
43,734045
44,734045
45,734045
46,734045
47,734045
48,734040
49,733980
50,733980
51,733885
52,733885
53,733885
54,733885
55,733885
56,733760
57,733235
58,733235
59,733235
60,733235
61,733235
62,733235
63,733235
64,733235
65,733235
66,733235
67,733235
68,733235
69,733235
70,733235
71,733040
72,733040
73,733040
74,732890
75,732890
76,732890
77,732890
78,732890
79,732890
80,732890
81,732890
82,732890
83,732890
84,732890
85,732890
86,732890
87,732890
88,732880
89,732880
90,732880
91,732880
92,732880
93,732880
94,732880
95,732880
96,732880
97,732880
98,732880
99,732880
