,0
0,492925
1,492470
2,491885
3,491450
4,491055
5,490820
6,490570
7,490160
8,489760
9,489760
10,489665
11,489525
12,489370
13,488850
14,488850
15,488710
16,488710
17,488485
18,488340
19,488295
20,488295
21,487710
22,487710
23,487545
24,487545
25,487215
26,487075
27,487075
28,487075
29,487075
30,487075
31,487060
32,487060
33,486815
34,486815
35,486815
36,486735
37,486735
38,486735
39,486735
40,486375
41,486375
42,486375
43,486375
44,486375
45,486375
46,486270
47,486270
48,486270
49,486270
50,485645
51,485645
52,485645
53,485645
54,485645
55,485590
56,485565
57,485475
58,485475
59,485475
60,485475
61,485475
62,485475
63,485475
64,485475
65,485455
66,485455
67,485455
68,485455
69,485455
70,485455
71,485455
72,485430
73,485430
74,485430
75,485430
76,485430
77,485430
78,485430
79,485430
80,485430
81,485430
82,485430
83,485430
84,485430
85,485395
86,485395
87,485395
88,485395
89,485395
90,485395
91,485395
92,485395
93,485395
94,485395
95,485395
96,485395
97,485395
98,485075
99,484970
