Gen,BestFit
0,912815
1,912815
2,912815
3,912815
4,912815
5,912815
6,912815
7,912815
8,912815
9,912815
10,912815
11,912815
12,912815
13,912815
14,912815
15,912815
16,912815
17,912815
18,912815
19,912815
20,912815
21,912815
22,912815
23,912815
24,912815
25,912815
26,912815
27,912815
28,912815
29,912815
30,912815
31,912815
32,912815
33,912815
34,912815
35,912815
36,912815
37,912815
38,912815
39,912815
40,912815
41,912815
42,912815
43,912815
44,912815
45,912815
46,912815
47,912815
48,912815
49,912815
50,912815
51,912815
52,912815
53,912815
54,912815
55,912815
56,912815
57,912815
58,912815
59,912815
60,912815
61,912815
62,912815
63,912815
64,912815
65,912815
66,912815
67,912815
68,912815
69,912815
70,912815
71,912815
72,912815
73,912815
74,912815
75,912815
76,912815
77,912815
78,912815
79,912815
80,912815
81,912815
82,912815
83,912815
84,912815
85,912815
86,912815
87,912815
88,912815
89,912815
90,912815
91,912815
92,912815
93,912815
94,912815
95,912815
96,912815
97,912815
98,912815
99,912815
