,0
0,390960
1,390725
2,390310
3,389565
4,389225
5,388945
6,388875
7,388545
8,388525
9,388155
10,388080
11,387960
12,387700
13,387650
14,387650
15,387650
16,387595
17,387595
18,387240
19,387240
20,387240
21,387145
22,387085
23,387085
24,386855
25,386855
26,386855
27,386855
28,386770
29,386770
30,386770
31,386730
32,386660
33,386660
34,386660
35,386660
36,386660
37,386660
38,386660
39,386660
40,386660
41,386660
42,386660
43,386660
44,386660
45,386660
46,386620
47,386620
48,386425
49,386425
50,386240
51,386125
52,386125
53,386125
54,386105
55,386105
56,386100
57,386100
58,386100
59,386100
60,385965
61,385965
62,385655
63,385655
64,385655
65,385655
66,385655
67,385655
68,385620
69,385620
70,385620
71,385420
72,385420
73,385420
74,385420
75,385360
76,385360
77,385360
78,385360
79,385360
80,385360
81,385315
82,385315
83,385315
84,385315
85,385315
86,385315
87,385315
88,385315
89,385315
90,385315
91,385315
92,385315
93,385315
94,385315
95,385315
96,385280
97,385280
98,385280
99,385280
