Gen,BestFit
0,913465
1,913245
2,913245
3,913245
4,913245
5,913245
6,913245
7,913245
8,913245
9,913245
10,913245
11,913245
12,913245
13,913245
14,913245
15,913245
16,913185
17,913185
18,913185
19,913185
20,913185
21,913185
22,913185
23,913185
24,913185
25,913185
26,913185
27,913185
28,913185
29,913185
30,913185
31,913185
32,913185
33,913185
34,913185
35,913185
36,913000
37,913000
38,913000
39,913000
40,913000
41,913000
42,913000
43,913000
44,913000
45,913000
46,913000
47,913000
48,913000
49,913000
50,913000
51,913000
52,913000
53,913000
54,913000
55,913000
56,913000
57,913000
58,913000
59,913000
60,913000
61,913000
62,913000
63,913000
64,913000
65,912700
66,912700
67,912700
68,912700
69,912700
70,912700
71,912700
72,912700
73,912700
74,912700
75,912700
76,912700
77,912700
78,912700
79,912700
80,912700
81,912700
82,912700
83,912700
84,912700
85,912700
86,912700
87,912700
88,912700
89,912700
90,912700
91,912700
92,912700
93,912700
94,912700
95,912700
96,912700
97,912700
98,912700
99,912700
