Gen,BestFit
0,1005183
1,1004838
2,1004828
3,1004828
4,1004828
5,1004828
6,1004828
7,1004828
8,1004828
9,1004828
10,1004703
11,1004703
12,1004703
13,1004703
14,1004703
15,1004703
16,1004703
17,1004703
18,1004703
19,1004703
20,1004703
21,1004703
22,1004703
23,1004703
24,1004703
25,1004703
26,1004703
27,1004703
28,1004703
29,1004703
30,1004703
31,1004703
32,1004703
33,1004703
34,1004703
35,1004703
36,1004703
37,1004703
38,1004703
39,1004703
40,1004703
41,1004703
42,1004703
43,1004703
44,1004703
45,1004703
46,1004703
47,1004703
48,1004703
49,1004703
50,1004703
51,1004703
52,1004703
53,1004703
54,1004703
55,1004703
56,1004703
57,1004703
58,1004703
59,1004703
60,1004703
61,1004703
62,1004703
63,1004703
64,1004703
65,1004703
66,1004703
67,1004703
68,1004703
69,1004703
70,1004703
71,1004693
72,1004693
73,1004693
74,1004693
75,1004693
76,1004693
77,1004693
78,1004693
79,1004693
80,1004693
81,1004693
82,1004693
83,1004693
84,1004693
85,1004693
86,1004693
87,1004693
88,1004658
89,1004658
90,1004658
91,1004658
92,1004658
93,1004658
94,1004658
95,1004658
96,1004658
97,1004658
98,1004658
99,1004658
