Gen,BestFit
0,913690
1,913690
2,913380
3,913380
4,913380
5,913380
6,913380
7,913380
8,913380
9,913360
10,913360
11,913360
12,913185
13,913185
14,913185
15,913025
16,913025
17,913025
18,913025
19,913025
20,913025
21,913025
22,913025
23,913025
24,913025
25,913025
26,913025
27,913025
28,913025
29,913025
30,913025
31,913025
32,913025
33,913025
34,913025
35,913025
36,913025
37,913025
38,913025
39,913025
40,913025
41,913025
42,913025
43,913025
44,913025
45,913025
46,913025
47,913025
48,913025
49,913025
50,913025
51,913025
52,913025
53,913025
54,913025
55,913025
56,913025
57,913025
58,913025
59,913025
60,913025
61,913025
62,913025
63,913025
64,913025
65,913025
66,913025
67,913025
68,913025
69,913025
70,913025
71,912860
72,912860
73,912860
74,912860
75,912860
76,912860
77,912860
78,912860
79,912860
80,912860
81,912860
82,912860
83,912860
84,912860
85,912860
86,912860
87,912860
88,912860
89,912860
90,912860
91,912860
92,912860
93,912860
94,912860
95,912860
96,912860
97,912860
98,912860
99,912860
