Gen,BestFit
0,1049373
1,1049303
2,1049303
3,1049303
4,1049013
5,1049013
6,1048303
7,1048303
8,1048303
9,1048303
10,1048303
11,1048303
12,1048303
13,1048303
14,1048303
15,1048303
16,1048303
17,1048303
18,1048303
19,1048303
20,1048303
21,1048303
22,1048303
23,1048303
24,1048303
25,1048303
26,1048303
27,1048303
28,1048303
29,1048303
30,1048303
31,1048303
32,1048303
33,1048303
34,1048303
35,1048303
36,1048303
37,1048303
38,1048303
39,1048303
40,1048303
41,1048303
42,1048303
43,1048303
44,1048303
45,1048303
46,1048303
47,1048303
48,1048303
49,1048303
50,1048303
51,1048303
52,1048303
53,1048303
54,1048303
55,1048303
56,1048303
57,1048303
58,1048303
59,1048303
60,1048303
61,1048303
62,1048303
63,1048303
64,1048303
65,1048303
66,1048303
67,1048303
68,1048303
69,1048303
70,1048303
71,1048303
72,1048303
73,1048303
74,1048303
75,1048303
76,1048303
77,1048303
78,1048303
79,1048303
80,1048303
81,1048303
82,1048303
83,1048303
84,1048303
85,1048303
86,1048303
87,1048303
88,1048303
89,1048303
90,1048303
91,1048303
92,1048303
93,1048303
94,1048303
95,1048303
96,1048303
97,1048303
98,1048038
99,1048038
