,0
0,963940
1,963755
2,963380
3,962820
4,962560
5,962225
6,962225
7,962030
8,961610
9,961610
10,961415
11,961415
12,961300
13,961260
14,961215
15,961105
16,960940
17,960940
18,960815
19,960815
20,960815
21,960755
22,960620
23,960620
24,960550
25,960465
26,960235
27,960235
28,960145
29,960145
30,960145
31,960145
32,960145
33,960145
34,960065
35,960035
36,960035
37,959930
38,959930
39,959930
40,959930
41,959435
42,959435
43,959435
44,959380
45,959380
46,959380
47,959325
48,959245
49,959245
50,959245
51,959245
52,959245
53,959245
54,959245
55,959245
56,959245
57,959130
58,959130
59,959130
60,959130
61,959130
62,959130
63,959130
64,959130
65,959130
66,959130
67,959130
68,959130
69,959130
70,959130
71,959130
72,959130
73,959130
74,959130
75,959130
76,959040
77,959040
78,959040
79,959040
80,959040
81,959040
82,959040
83,959040
84,959040
85,959040
86,959040
87,959040
88,959040
89,959040
90,959040
91,959040
92,959040
93,959040
94,959040
95,959040
96,959040
97,959015
98,958555
99,958555
